﻿DATA_YEAR,AGENCY_ID,INCIDENT_ID,NIBRS_MONTH_ID,CARGO_THEFT_FLAG,SUBMISSION_DATE,INCIDENT_DATE,INCIDENT_Month,INCIDENT_DAY,REPORT_DATE_FLAG,INCIDENT_HOUR,DATA_HOME,ORIG_FORMAT,DID
2019,2051,107983467,8142481,N,43556,1/5/2019,January,5,,6,C,F,40892008
2019,2051,107986157,8142481,N,43556,1/28/2019,January,28,,11,C,F,40892328
2019,2051,107969915,8150143,N,43556,2/19/2019,February,19,,16,C,F,40892578
2019,2051,107983499,8142481,N,43556,1/9/2019,January,9,,6,C,F,40892063
2019,2051,107981032,8142481,N,43556,1/10/2019,January,10,,11,C,F,40887492
2019,2051,107983545,8142481,N,43556,1/11/2019,January,11,,12,C,F,40887514
2019,1940,112715947,8173041,N,43662,5/20/2019,May,20,,8,C,F,49321483
2019,1940,113244122,8180703,N,43689,6/3/2019,June,3,,14,C,F,50120939
2019,1940,107928838,8142393,N,43556,1/13/2019,January,13,,16,C,F,40786766
2019,1940,107924679,8142393,N,43556,1/9/2019,January,9,R,15,C,F,40791600
2019,1940,107924681,8142393,N,43556,1/9/2019,January,9,,21,C,F,40780688
2019,1940,107919656,8142393,N,43556,1/1/2019,January,1,R,7,C,F,40786762
2019,1940,116803320,8188365,N,43754,7/24/2019,July,24,R,16,C,F,57976319
2019,1940,117673353,8196027,N,43784,8/20/2019,August,20,,16,C,F,59963533
2019,1940,116803340,8203689,N,43754,9/23/2019,September,23,,11,C,F,57955544
2019,1940,112243690,8173041,N,43635,5/18/2019,May,18,R,17,C,F,48505896
2019,1940,112246189,8165379,N,43635,4/6/2019,April,6,R,23,C,F,48507983
2019,1940,116140599,8196027,N,43731,8/17/2019,August,17,R,13,C,F,56518762
2019,1940,116128966,8196027,N,43731,8/15/2019,August,15,R,14,C,F,56514262
2019,1940,116128938,8180703,N,43731,6/15/2019,June,15,R,15,C,F,56522460
2019,1940,117663584,8219013,N,43784,11/5/2019,November,5,R,16,C,F,59954229
2019,1940,117673354,8211351,N,43784,10/6/2019,October,6,R,12,C,F,59958867
2019,1940,117663597,8211351,N,43784,10/6/2019,October,6,R,16,C,F,59963562
2019,2051,107983621,8142481,N,43556,1/13/2019,January,13,,19,C,F,40887564
2019,2051,107983666,8142481,N,43556,1/23/2019,January,23,,7,C,F,40892261
2019,2051,107983687,8142481,N,43556,1/25/2019,January,25,,21,C,F,40892292
2019,2051,107969808,8142481,N,43556,1/25/2019,January,25,,22,C,F,40892316
2019,2051,107983817,8150143,N,43556,2/6/2019,February,6,,17,C,F,40892441
2019,2051,107983859,8150143,N,43556,2/12/2019,February,12,,1,C,F,40892489
2019,2051,107983927,8150143,N,43556,2/13/2019,February,13,,22,C,F,40892575
2019,2051,107983457,8142481,N,43556,1/4/2019,January,4,,11,C,F,40892003
2019,2051,107983986,8150143,N,43556,2/25/2019,February,25,,21,C,F,40892653
2019,2051,107983987,8150143,N,43556,2/25/2019,February,25,,21,C,F,40887779
2019,2051,107983795,8150143,N,43556,2/3/2019,February,3,,17,C,F,40887650
2019,2051,107986221,8150143,N,43556,2/7/2019,February,7,,11,C,F,40884234
2019,2051,107983833,8150143,N,43556,2/9/2019,February,9,,9,C,F,40892462
2019,2051,107983853,8150143,N,43556,2/8/2019,February,8,,16,C,F,40892477
2019,2051,107986340,8150143,N,43556,2/17/2019,February,17,,13,C,F,40887799
2019,2051,107983498,8142481,N,43556,1/8/2019,January,8,,16,C,F,40887478
2019,2051,107983577,8142481,N,43556,1/16/2019,January,16,,17,C,F,40884041
2019,2051,107983701,8142481,N,43556,1/26/2019,January,26,,9,C,F,40887608
2019,2051,107986297,8150143,N,43556,2/20/2019,February,20,,17,C,F,40892592
2019,2051,107983975,8150143,N,43556,2/21/2019,February,21,,12,C,F,40892639
2019,2051,107986334,8150143,N,43556,2/20/2019,February,20,,0,C,F,40892680
2019,2051,113241211,8188453,N,43689,7/5/2019,July,5,,17,C,F,50116506
2019,2051,107983494,8142481,N,43556,1/8/2019,January,8,,6,C,F,40883947
2019,1940,119338508,8226675,N,43843,12/3/2019,December,3,R,0,C,F,63303086
2019,1940,121211267,8211351,N,43887,10/20/2019,October,20,R,0,C,F,66921908
2019,2087,107965153,8142509,N,43556,1/2/2019,January,2,R,15,C,F,40844394
2019,2087,120348352,8219129,N,43872,11/24/2019,November,24,R,14,C,F,65215681
2019,2087,120348330,8226791,N,43872,12/24/2019,December,24,R,10,C,F,65218333
2019,2087,120348315,8211467,N,43872,10/15/2019,October,15,R,15,C,F,65218312
2019,2060,118750576,8219109,N,43817,11/10/2019,November,10,,17,C,F,62066116
2019,2051,107983907,8150143,N,43556,2/15/2019,February,15,,17,C,F,40887723
2019,2051,107969848,8150143,N,43556,2/4/2019,February,4,,8,C,F,40884212
2019,2051,107983804,8150143,N,43556,2/1/2019,February,1,,7,C,F,40887661
2019,2051,107983845,8150143,N,43556,2/10/2019,February,10,,16,C,F,40884254
2019,2051,107983878,8150143,N,43556,2/13/2019,February,13,,19,C,F,40892522
2019,2051,107983900,8150143,N,43556,2/15/2019,February,15,,4,C,F,40892548
2019,2051,107983985,8150143,N,43556,2/25/2019,February,25,,9,C,F,40892647
2019,2051,116138508,8196115,N,43731,8/22/2019,August,22,,20,C,F,56510815
2019,2051,113236517,8180791,N,43689,6/9/2019,June,9,,3,C,F,50121726
2019,2051,112239232,8157805,N,43635,3/25/2019,March,25,,20,C,F,48502172
2019,2051,112235916,8165467,N,43635,4/17/2019,April,17,,14,C,F,48497399
2019,2051,112216638,8165467,N,43635,4/21/2019,April,21,,5,C,F,48502400
2019,2051,112266766,8165467,N,43635,4/15/2019,April,15,,21,C,F,48540890
2019,2051,112267073,8173129,N,43635,5/24/2019,May,24,,15,C,F,48546181
2019,2051,112267074,8173129,N,43635,5/24/2019,May,24,,10,C,F,48543238
2019,2051,112265003,8173129,N,43635,5/24/2019,May,24,,19,C,F,48546187
2019,2051,112266731,8157805,N,43635,3/18/2019,March,18,,14,C,F,48542802
2019,2112,117674659,8150192,N,43784,2/3/2019,February,3,R,0,C,F,59961140
2019,1909,112246110,8142364,N,43635,1/17/2019,January,17,,10,C,F,48507627
2019,1909,112246158,8157688,N,43635,3/28/2019,March,28,,5,C,F,48507672
2019,1909,112283946,8142364,N,43635,1/8/2019,January,8,,17,C,F,48572310
2019,1909,112283980,8173012,N,43635,5/18/2019,May,18,,21,C,F,48572374
2019,1909,117660063,8195998,N,43784,8/6/2019,August,6,,12,C,F,59948908
2019,1909,117660136,8180674,N,43784,6/28/2019,June,28,,11,C,F,59945156
2019,1909,117655587,8195998,N,43784,8/14/2019,August,14,,18,C,F,59948957
2019,1966,113239425,8180725,N,43689,6/9/2019,June,9,,0,C,F,50136575
2019,1966,113239428,8180725,N,43689,6/10/2019,June,10,,18,C,F,50121216
2019,1853,114119439,8188300,N,43712,7/28/2019,July,28,,21,C,F,51788518
2019,1853,107991602,8142328,N,43556,1/12/2019,January,12,,17,C,F,40902940
2019,1853,112242813,8165314,N,43635,4/8/2019,April,8,,9,C,F,48506436
2019,1853,119335250,8226610,N,43843,12/14/2019,December,14,R,18,C,F,63299425
2019,1853,120339443,8226610,N,43872,12/26/2019,December,26,R,15,C,F,65209200
2019,2063,116808992,8203788,N,43754,9/6/2019,September,6,,11,C,F,57999214
2019,2063,117665169,8196126,N,43784,8/10/2019,August,10,,0,C,F,59966305
2019,2063,119343733,8203788,N,43843,9/17/2019,September,17,R,0,C,F,63304692
2019,1902,107959437,8142359,N,43556,1/18/2019,January,18,,11,C,F,40842236
2019,1902,109094177,8150021,N,43557,2/19/2019,February,19,R,7,C,F,42691596
2019,1902,117668006,8203655,N,43784,9/16/2019,September,16,R,10,C,F,59953446
2019,1902,116808058,8195993,N,43754,8/5/2019,August,5,R,8,C,F,57998026
2019,1902,109085681,8150021,N,43557,2/19/2019,February,19,R,7,C,F,42691594
2019,1902,109094178,8150021,N,43557,2/19/2019,February,19,R,7,C,F,42696321
2019,1902,112243078,8165345,N,43635,4/12/2019,April,12,R,10,C,F,48505151
2019,1902,116128642,8188331,N,43731,7/15/2019,July,15,R,8,C,F,56513753
2019,1902,116128629,8188331,N,43731,7/6/2019,July,6,R,18,C,F,56513728
2019,1902,116128633,8188331,N,43731,7/15/2019,July,15,R,8,C,F,56513742
2019,1902,120346947,8226641,N,43872,12/4/2019,December,4,R,20,C,F,65213570
2019,1842,114119182,8188291,N,43712,7/21/2019,July,21,,7,C,F,51787973
2019,1842,109093895,8157643,N,43557,3/8/2019,March,8,,8,C,F,42690609
2019,1842,109085514,8157643,N,43557,3/26/2019,March,26,,17,C,F,42685998
2019,1842,107991234,8157643,N,43556,3/7/2019,March,7,,11,C,F,40890665
2019,1842,112240588,8165305,N,43635,4/27/2019,April,27,,6,C,F,48504743
2019,1842,112242669,8165305,N,43635,4/1/2019,April,1,,0,C,F,48504713
2019,1842,113243153,8188291,N,43689,7/22/2019,July,22,,18,C,F,50119482
2019,1842,113237987,8188291,N,43689,7/29/2019,July,29,,8,C,F,50124263
2019,1909,117660013,8157688,N,43784,3/28/2019,March,28,,0,C,F,59948827
2019,1909,117649987,8195998,N,43784,8/30/2019,August,30,,23,C,F,59949136
